symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2025.11.28 04:00	4H	4191.08	4191.96	4172.66	4182.68
XAUUSD	2025.11.28 08:00	4H	4182.21	4188.49	4153.90	4165.33
XAUUSD	2025.11.28 12:00	4H	4165.43	4182.85	4160.77	4182.55
XAUUSD	2025.11.28 16:00	4H	4182.90	4216.88	4182.70	4216.88
XAUUSD	2025.11.28 20:00	4H	4216.49	4226.62	4211.02	4219.09
XAUUSD	2025.12.01 00:00	4H	4222.86	4256.07	4206.13	4255.10
XAUUSD	2025.12.01 04:00	4H	4255.05	4256.36	4215.71	4229.62
XAUUSD	2025.12.01 08:00	4H	4229.65	4253.65	4226.18	4249.95
XAUUSD	2025.12.01 12:00	4H	4250.01	4264.63	4244.21	4247.21
XAUUSD	2025.12.01 16:00	4H	4246.99	4249.44	4219.32	4232.43
XAUUSD	2025.12.01 20:00	4H	4232.66	4244.68	4229.37	4232.07
XAUUSD	2025.12.02 00:00	4H	4231.67	4236.03	4191.11	4219.67
XAUUSD	2025.12.02 04:00	4H	4219.67	4226.13	4213.69	4225.01
XAUUSD	2025.12.02 08:00	4H	4225.02	4226.30	4180.91	4191.74
XAUUSD	2025.12.02 12:00	4H	4191.70	4215.09	4181.91	4212.29
XAUUSD	2025.12.02 16:00	4H	4212.32	4230.88	4163.43	4193.91
XAUUSD	2025.12.02 20:00	4H	4193.70	4212.34	4183.11	4205.59
XAUUSD	2025.12.03 00:00	4H	4206.61	4221.06	4202.84	4214.15
XAUUSD	2025.12.03 04:00	4H	4214.31	4228.81	4203.29	4207.65
XAUUSD	2025.12.03 08:00	4H	4207.92	4211.80	4197.01	4202.07
XAUUSD	2025.12.03 12:00	4H	4202.03	4238.95	4194.61	4236.79
XAUUSD	2025.12.03 16:00	4H	4237.05	4241.35	4195.72	4211.03
XAUUSD	2025.12.03 20:00	4H	4211.35	4212.61	4195.15	4202.93
XAUUSD	2025.12.04 00:00	4H	4204.03	4216.76	4202.22	4209.12
XAUUSD	2025.12.04 04:00	4H	4209.08	4209.08	4175.07	4181.08
XAUUSD	2025.12.04 08:00	4H	4181.13	4202.46	4178.57	4199.82
XAUUSD	2025.12.04 12:00	4H	4200.02	4206.46	4185.64	4198.19
XAUUSD	2025.12.04 16:00	4H	4198.33	4219.38	4191.38	4216.47
XAUUSD	2025.12.04 20:00	4H	4216.35	4217.44	4199.65	4208.59
