symbol	timestamp	timeframe	open	high	low	close
XAUUSD	2026.02.05 08:00	4H	4896.42	4943.62	4849.47	4854.96
XAUUSD	2026.02.05 12:00	4H	4854.96	4894.57	4802.07	4835.69
XAUUSD	2026.02.05 16:00	4H	4835.69	4906.91	4800.53	4869.37
XAUUSD	2026.02.05 20:00	4H	4869.38	4875.39	4759.71	4777.89
XAUUSD	2026.02.06 00:00	4H	4777.89	4793.76	4655.27	4774.36
XAUUSD	2026.02.06 04:00	4H	4774.36	4898.09	4761.02	4897.80
XAUUSD	2026.02.06 08:00	4H	4897.80	4903.22	4825.67	4866.55
XAUUSD	2026.02.06 12:00	4H	4866.55	4938.44	4851.76	4929.12
XAUUSD	2026.02.06 16:00	4H	4929.27	4968.65	4894.62	4960.62
XAUUSD	2026.02.06 20:00	4H	4960.62	4971.48	4936.61	4964.88
XAUUSD	2026.02.09 00:00	4H	4986.72	5047.39	4965.15	4982.63
XAUUSD	2026.02.09 04:00	4H	4982.63	5041.55	4969.11	5036.47
XAUUSD	2026.02.09 08:00	4H	5036.47	5045.72	4997.68	5007.80
XAUUSD	2026.02.09 12:00	4H	5007.80	5024.84	4982.31	5007.14
XAUUSD	2026.02.09 16:00	4H	5007.14	5080.82	5002.34	5046.26
XAUUSD	2026.02.09 20:00	4H	5046.26	5086.61	5044.28	5058.06
XAUUSD	2026.02.10 00:00	4H	5058.07	5077.03	4987.68	5032.94
XAUUSD	2026.02.10 04:00	4H	5032.93	5056.35	5011.42	5039.43
XAUUSD	2026.02.10 08:00	4H	5039.37	5063.31	5018.62	5046.86
XAUUSD	2026.02.10 12:00	4H	5046.86	5058.55	5019.68	5051.16
XAUUSD	2026.02.10 16:00	4H	5051.17	5078.72	4999.02	5026.24
XAUUSD	2026.02.10 20:00	4H	5026.24	5045.51	5004.60	5025.16
XAUUSD	2026.02.11 00:00	4H	5025.16	5054.68	5025.14	5052.58
XAUUSD	2026.02.11 04:00	4H	5052.58	5064.01	5032.57	5052.75
XAUUSD	2026.02.11 08:00	4H	5052.75	5072.14	5045.91	5062.85
XAUUSD	2026.02.11 12:00	4H	5062.81	5119.13	5018.88	5065.80
XAUUSD	2026.02.11 16:00	4H	5065.80	5099.09	5035.91	5091.60
XAUUSD	2026.02.11 20:00	4H	5091.53	5094.37	5067.17	5084.18
XAUUSD	2026.02.12 00:00	4H	5084.18	5100.09	5045.07	5063.69
XAUUSD	2026.02.12 04:00	4H	5063.69	5078.29	5051.09	5075.68
XAUUSD	2026.02.12 08:00	4H	5075.70	5080.81	5047.22	5073.28
XAUUSD	2026.02.12 12:00	4H	5073.28	5083.82	5048.70	5075.25
XAUUSD	2026.02.12 16:00	4H	5075.25	5077.83	4878.71	4941.07
